dataset,id,stableId,employer,title,before,after,oldRuleIds,newRuleIds,humanDecision,humanNote
frozen,74e39fc92e769ae36ee74581,rtx:01865916,rtx,"Digital Technology Capture Engagement Lead, Program Architecture (FEOTB) Naval Power, Remote",REJECT,KEEP,reject-sales,keep-reviewed-it-architecture,KEEP,"Primary duties center on Digital Technology, program architecture, IT/engineering requirements analysis, Agile workflows, and technical proposal support. This belongs in Technology despite the capture/business-development context."
frozen,86e66d42c78951f977ba6e5b,servicenow:JB0074456,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,KEEP,"Primary duties are product management, GTM strategy, adoption, and deployment orchestration for ServiceNow AI/software products. This is a Technology occupation even though it is business-facing rather than hands-on engineering."
frozen,1e8d2877f53a6d11c2e23f34,boeing:JR2026518584,boeing,Associate Test and Evaluation Laboratory Technician,REJECT,KEEP,reject-operator-technician,keep-reviewed-test-systems,KEEP,"Primary duties involve test-system design, systems integration, instrumentation/sensors, electrical schematics, software, data analysis, and troubleshooting. This is technical systems/electronics work and belongs in Technology."
frozen,afc5e30631d0feea140b1bb7,rtx:01868753,rtx,"ECAD Layout Designer Technician, Draft/Product Definition (Remote)",REJECT,KEEP,reject-operator-technician,keep-reviewed-electronic-design,KEEP,"Primary duties are PCB/ECAD design, routing, constraints, configuration management, and electronic design documentation. Despite the technician title, this is clearly Technology work."
frozen,40a4e12248dbc15959d09073,northrop-grumman:R10245576,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,KEEP,"Despite the HR title, the primary duties are systems integration monitoring, root-cause analysis, troubleshooting, configuration improvement, and support across VNDLY, Workday, and ServiceNow. This belongs in Technology."
frozen,legacy:0326edd5236a248c,,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,not human-labeled,
frozen,legacy:04d90d4b9a0514e7,,rtx,"Digital Technology Capture Engagement Lead, Program Architecture (FEOTB) Naval Power, Remote",REJECT,KEEP,reject-sales,keep-reviewed-it-architecture,not human-labeled,
frozen,legacy:18879303447a1a97,,boeing,Associate Test and Evaluation Laboratory Technician,REJECT,KEEP,reject-operator-technician,keep-reviewed-test-systems,not human-labeled,
frozen,legacy:d1f94efab39334b5,,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,not human-labeled,
frozen,legacy:f90e425031a8b006,,rtx,"ECAD Layout Designer Technician, Draft/Product Definition (Remote)",REJECT,KEEP,reject-operator-technician,keep-reviewed-electronic-design,not human-labeled,
historical-live,northrop-grumman:R10245576,northrop-grumman:R10245576,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,KEEP,"Despite the HR title, the primary duties are systems integration monitoring, root-cause analysis, troubleshooting, configuration improvement, and support across VNDLY, Workday, and ServiceNow. This belongs in Technology."
historical-live,servicenow:JB0074456,servicenow:JB0074456,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,KEEP,"Primary duties are product management, GTM strategy, adoption, and deployment orchestration for ServiceNow AI/software products. This is a Technology occupation even though it is business-facing rather than hands-on engineering."
historical-live,servicenow:JB0074533,servicenow:JB0074533,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,not human-labeled,
historical-live,servicenow:JB0074535,servicenow:JB0074535,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,not human-labeled,
historical-live,servicenow:JB0074536,servicenow:JB0074536,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,KEEP,"Primary duties are enterprise solution sales for ServiceNow AI/software products, including technical discovery, demonstrations, and explaining technical capabilities. This belongs to Technology even though it is a quota-carrying sales role."
historical-live,aecom:J10155853,aecom:J10155853,aecom,Civil OSP Project Manager - QA/QC Lead,REJECT,KEEP,reject-trades-construction; reject-civil,keep-reviewed-telecom-infrastructure,KEEP,"Primary duties are project/quality leadership for telecommunications outside-plant infrastructure. Although the work includes substantial civil design and construction coordination, the underlying system is communications/network infrastructure, so it belongs in Technology."
historical-live,boeing:JR2026518584,boeing:JR2026518584,boeing,Associate Test and Evaluation Laboratory Technician,REJECT,KEEP,reject-operator-technician,keep-reviewed-test-systems,KEEP,"Primary duties involve test-system design, systems integration, instrumentation/sensors, electrical schematics, software, data analysis, and troubleshooting. This is technical systems/electronics work and belongs in Technology."
historical-live,rtx:01865916,rtx:01865916,rtx,"Digital Technology Capture Engagement Lead, Program Architecture (FEOTB) Naval Power, Remote",REJECT,KEEP,reject-sales,keep-reviewed-it-architecture,KEEP,"Primary duties center on Digital Technology, program architecture, IT/engineering requirements analysis, Agile workflows, and technical proposal support. This belongs in Technology despite the capture/business-development context."
historical-live,rtx:01868753,rtx:01868753,rtx,"ECAD Layout Designer Technician, Draft/Product Definition (Remote)",REJECT,KEEP,reject-operator-technician,keep-reviewed-electronic-design,KEEP,"Primary duties are PCB/ECAD design, routing, constraints, configuration management, and electronic design documentation. Despite the technician title, this is clearly Technology work."
