dataset,evaluationId,stableId,employer,title,oldDecision,newDecision,oldRules,newRules,matchedPredicates,oldReason,newReason,humanDecision,humanNote
frozen,74e39fc92e769ae36ee74581,rtx:01865916,rtx,"Digital Technology Capture Engagement Lead, Program Architecture (FEOTB) Naval Power, Remote",REJECT,KEEP,reject-sales,keep-reviewed-it-architecture,sales-title; reviewed-it-architecture-title; reviewed-it-architecture-object; reviewed-it-architecture-duty,Corroborated unrelated occupational duties: sales,KEEP: corroborated it architecture duties,KEEP,"Primary duties center on Digital Technology, program architecture, IT/engineering requirements analysis, Agile workflows, and technical proposal support. This belongs in Technology despite the capture/business-development context."
frozen,86e66d42c78951f977ba6e5b,servicenow:JB0074456,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,business-other-title; reviewed-software-product-title; reviewed-software-product-object; reviewed-software-product-duty,Corroborated unrelated occupational duties: business-other,KEEP: corroborated software product duties,KEEP,"Primary duties are product management, GTM strategy, adoption, and deployment orchestration for ServiceNow AI/software products. This is a Technology occupation even though it is business-facing rather than hands-on engineering."
frozen,1e8d2877f53a6d11c2e23f34,boeing:JR2026518584,boeing,Associate Test and Evaluation Laboratory Technician,REJECT,KEEP,reject-operator-technician,keep-reviewed-test-systems,operator-technician-title; reviewed-test-systems-title; reviewed-test-systems-object; reviewed-test-systems-duty,Corroborated unrelated occupational duties: operator-technician,KEEP: corroborated test systems duties,KEEP,"Primary duties involve test-system design, systems integration, instrumentation/sensors, electrical schematics, software, data analysis, and troubleshooting. This is technical systems/electronics work and belongs in Technology."
frozen,afc5e30631d0feea140b1bb7,rtx:01868753,rtx,"ECAD Layout Designer Technician, Draft/Product Definition (Remote)",REJECT,KEEP,reject-operator-technician,keep-reviewed-electronic-design,operator-technician-title; reviewed-electronic-design-title; reviewed-electronic-design-object; reviewed-electronic-design-duty,Corroborated unrelated occupational duties: operator-technician,KEEP: corroborated electronic design duties,KEEP,"Primary duties are PCB/ECAD design, routing, constraints, configuration management, and electronic design documentation. Despite the technician title, this is clearly Technology work."
frozen,40a4e12248dbc15959d09073,northrop-grumman:R10245576,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,hr-title; reviewed-application-integration-title; reviewed-application-integration-object; reviewed-application-integration-duty,Corroborated unrelated occupational duties: hr,KEEP: corroborated application integration duties,KEEP,"Despite the HR title, the primary duties are systems integration monitoring, root-cause analysis, troubleshooting, configuration improvement, and support across VNDLY, Workday, and ServiceNow. This belongs in Technology."
frozen,legacy:0326edd5236a248c,unavailable in legacy cache,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,hr-title; reviewed-application-integration-title; reviewed-application-integration-object; reviewed-application-integration-duty,Corroborated unrelated occupational duties: hr,KEEP: corroborated application integration duties,not independently human-labeled,
frozen,legacy:04d90d4b9a0514e7,unavailable in legacy cache,rtx,"Digital Technology Capture Engagement Lead, Program Architecture (FEOTB) Naval Power, Remote",REJECT,KEEP,reject-sales,keep-reviewed-it-architecture,sales-title; reviewed-it-architecture-title; reviewed-it-architecture-object; reviewed-it-architecture-duty,Corroborated unrelated occupational duties: sales,KEEP: corroborated it architecture duties,not independently human-labeled,
frozen,legacy:18879303447a1a97,unavailable in legacy cache,boeing,Associate Test and Evaluation Laboratory Technician,REJECT,KEEP,reject-operator-technician,keep-reviewed-test-systems,operator-technician-title; reviewed-test-systems-title; reviewed-test-systems-object; reviewed-test-systems-duty,Corroborated unrelated occupational duties: operator-technician,KEEP: corroborated test systems duties,not independently human-labeled,
frozen,legacy:d1f94efab39334b5,unavailable in legacy cache,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,business-other-title; reviewed-software-product-title; reviewed-software-product-object; reviewed-software-product-duty,Corroborated unrelated occupational duties: business-other,KEEP: corroborated software product duties,not independently human-labeled,
frozen,legacy:f90e425031a8b006,unavailable in legacy cache,rtx,"ECAD Layout Designer Technician, Draft/Product Definition (Remote)",REJECT,KEEP,reject-operator-technician,keep-reviewed-electronic-design,operator-technician-title; reviewed-electronic-design-title; reviewed-electronic-design-object; reviewed-electronic-design-duty,Corroborated unrelated occupational duties: operator-technician,KEEP: corroborated electronic design duties,not independently human-labeled,
historical-live,northrop-grumman:R10245576,northrop-grumman:R10245576,northrop-grumman,Extended Workforce Solutions HR Project Manager,REJECT,KEEP,reject-hr,keep-reviewed-application-integration,hr-title; reviewed-application-integration-title; reviewed-application-integration-object; reviewed-application-integration-duty,Corroborated unrelated occupational duties: hr,KEEP: corroborated application integration duties,KEEP,"Despite the HR title, the primary duties are systems integration monitoring, root-cause analysis, troubleshooting, configuration improvement, and support across VNDLY, Workday, and ServiceNow. This belongs in Technology."
historical-live,servicenow:JB0074456,servicenow:JB0074456,servicenow,Senior Staff Outbound Product Manager - EmployeeWorks GTM,REJECT,KEEP,reject-business-other,keep-reviewed-software-product,business-other-title; reviewed-software-product-title; reviewed-software-product-object; reviewed-software-product-duty,Corroborated unrelated occupational duties: business-other,KEEP: corroborated software product duties,KEEP,"Primary duties are product management, GTM strategy, adoption, and deployment orchestration for ServiceNow AI/software products. This is a Technology occupation even though it is business-facing rather than hands-on engineering."
historical-live,servicenow:JB0074533,servicenow:JB0074533,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,finance-title; erp-object; reviewed-solution-sales-title; reviewed-solution-sales-object; reviewed-solution-sales-duty,Corroborated unrelated occupational duties: sales,KEEP: corroborated solution sales duties,not independently human-labeled,
historical-live,servicenow:JB0074535,servicenow:JB0074535,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,finance-title; erp-object; reviewed-solution-sales-title; reviewed-solution-sales-object; reviewed-solution-sales-duty,Corroborated unrelated occupational duties: sales,KEEP: corroborated solution sales duties,not independently human-labeled,
historical-live,servicenow:JB0074536,servicenow:JB0074536,servicenow,Senior Solution Sales Executive - Finance & Supply Chain Solutions,REJECT,KEEP,reject-sales,keep-reviewed-solution-sales,finance-title; erp-object; reviewed-solution-sales-title; reviewed-solution-sales-object; reviewed-solution-sales-duty,Corroborated unrelated occupational duties: sales,KEEP: corroborated solution sales duties,KEEP,"Primary duties are enterprise solution sales for ServiceNow AI/software products, including technical discovery, demonstrations, and explaining technical capabilities. This belongs to Technology even though it is a quota-carrying sales role."
historical-live,aecom:J10155853,aecom:J10155853,aecom,Civil OSP Project Manager - QA/QC Lead,REJECT,KEEP,reject-trades-construction; reject-civil,keep-reviewed-telecom-infrastructure,trades-construction-title; reviewed-application-integration-title; reviewed-telecom-infrastructure-title; reviewed-telecom-infrastructure-object; reviewed-telecom-infrastructure-duty,Corroborated unrelated occupational duties: trades-construction; Corroborated unrelated occupational duties: civil,KEEP: corroborated telecom infrastructure duties,KEEP,"Primary duties are project/quality leadership for telecommunications outside-plant infrastructure. Although the work includes substantial civil design and construction coordination, the underlying system is communications/network infrastructure, so it belongs in Technology."
